0	3.97E+00
0.001	6.38E+00
0.002	5.58E+00
0.003	4.77E+00
0.004	1.57E+00
0.005	9.58E+00
0.006	6.38E+00
0.007	9.58E+00
0.008	2.37E+00
0.009	3.17E+00
0.01	1.57E+00
0.011	3.97E+00
0.012	3.97E+00
0.013	6.38E+00
0.014	7.18E+00
0.015	5.58E+00
0.016	2.37E+00
0.017	5.58E+00
0.018	4.77E+00
0.019	3.17E+00
0.02	7.98E+00
0.021	6.38E+00
0.022	7.98E+00
0.023	5.58E+00
0.024	6.38E+00
0.025	5.58E+00
0.026	6.38E+00
0.027	1.57E+00
0.028	5.58E+00
0.029	5.58E+00
0.03	5.58E+00
0.031	5.58E+00
0.032	5.58E+00
0.033	7.18E+00
0.034	4.77E+00
0.035	4.77E+00
0.036	7.18E+00
0.037	6.38E+00
0.038	4.77E+00
0.039	6.38E+00
0.04	6.38E+00
0.041	7.18E+00
0.042	5.58E+00
0.043	8.78E+00
0.044	3.17E+00
0.045	3.17E+00
0.046	6.38E+00
0.047	6.38E+00
0.048	3.17E+00
0.049	8.78E+00
0.05	7.18E+00
0.051	6.38E+00
0.052	6.38E+00
0.053	5.58E+00
0.054	5.58E+00
0.055	6.38E+00
0.056	7.18E+00
0.057	7.18E+00
0.058	7.98E+00
0.059	8.78E+00
0.06	7.18E+00
0.061	3.97E+00
0.062	5.58E+00
0.063	8.78E+00
0.064	7.98E+00
0.065	6.38E+00
0.066	7.98E+00
0.067	5.58E+00
0.068	7.18E+00
0.069	6.38E+00
0.07	7.98E+00
0.071	6.38E+00
0.072	5.58E+00
0.073	3.97E+00
0.074	6.38E+00
0.075	4.77E+00
0.076	1.04E+01
0.077	9.58E+00
0.078	3.97E+00
0.079	7.98E+00
0.08	3.17E+00
0.081	7.98E+00
0.082	4.77E+00
0.083	1.12E+01
0.084	5.58E+00
0.085	7.18E+00
0.086	7.66E-01
0.087	1.20E+01
0.088	9.58E+00
0.089	7.18E+00
0.09	4.77E+00
0.091	5.58E+00
0.092	7.18E+00
0.093	6.38E+00
0.094	7.18E+00
0.095	7.98E+00
0.096	7.18E+00
0.097	3.97E+00
0.098	6.38E+00
0.099	7.18E+00
0.1	6.38E+00
0.101	6.38E+00
0.102	9.58E+00
0.103	7.18E+00
0.104	9.58E+00
0.105	3.17E+00
0.106	7.98E+00
0.107	7.98E+00
0.108	3.97E+00
0.109	7.98E+00
0.11	6.38E+00
0.111	6.38E+00
0.112	7.18E+00
0.113	6.38E+00
